intercept,sample_size,c_number,cov_mat,diag_cov,marginal_standardization_estimate,marginal_standardization_SE,ip_weighting_estimate,ip_weighting_robust_SE,ip_weighting_boot_SE
-2,1000,25,0,1,0.23438031740844295,0.09460999823476567,0.3586543706238354,0.22129731698873367,0.18093484868801155
-2,1000,25,0,1,0.1957499365040404,0.09979518515985321,0.5448012021726955,0.19517320350029088,0.17253484921868742
-2,1000,25,0,1,0.33853183899574957,0.10541762218364335,0.7691197362223838,0.20189946530851008,0.15470682938097308
-2,1000,25,0,1,0.28573945813642593,0.10836028080699589,0.5746857573028475,0.23049085941822706,0.18730320332354564
-2,1000,25,0,1,0.2893955728259165,0.11010600379305528,0.37624070050712083,0.22896448032080355,0.1949844388657539
-2,1000,25,0,1,0.27590766555417706,0.09658941715319797,0.5146511884501727,0.2082638562147046,0.1614733647356008
-2,1000,25,0,1,0.2419186540162695,0.10435686760690967,0.526048272974727,0.19354043540231555,0.15679612916353655
-2,1000,25,0,1,0.2950206970888124,0.10469009233555743,0.5660915368791813,0.20979050119779935,0.15358683741117807
-2,1000,25,0,1,0.33836447094051775,0.1028129986656397,0.519786090672239,0.20935387034494285,0.1918457906806986
-2,1000,25,0,1,0.4073892457370838,0.0980272779854227,0.6305222899167358,0.22045580224212094,0.19240562911501582
-2,1000,25,0,1,0.27023138964286214,0.10325548352299073,0.46677685505170474,0.23117608429886194,0.1780835351483232
-2,1000,25,0,1,0.3938476915907485,0.10679555577506546,0.7738165711044601,0.2029605971513846,0.15928498891051115
-2,1000,25,0,1,0.32036608380179016,0.1044716937024516,0.4780381249285381,0.217719651184554,0.16395367397696797
-2,1000,25,0,1,0.24769890203992018,0.102817224651969,0.4117023631359565,0.213404196304011,0.16902333434087888
-2,1000,25,0,1,0.38602666909161815,0.10749951851403385,0.5776242374635447,0.24486464737115973,0.23655511971215404
-2,1000,25,0,1,0.17015336321475,0.0981013362021562,0.5171323140664705,0.20832320468116977,0.16374232163152783
-2,1000,25,0,1,0.1843405204551151,0.10081149234717954,0.23187313088072664,0.2173740334603447,0.15198968773721672
-2,1000,25,0,1,0.28988093458758735,0.10032820162357928,0.5944154653173919,0.20995830426858406,0.169677583582309
-2,1000,25,0,1,0.42557870741856746,0.10747423665312658,0.6207336154211645,0.21282403859957277,0.17448310255581378
-2,1000,25,0,1,0.045322997028729196,0.10024499219300032,0.2101879173467707,0.22060923791768974,0.16561545400989613
-2,1000,25,0,1,0.48192656811025664,0.10827720757479485,0.7619232006908297,0.21586419171639512,0.16718669224405067
-2,1000,25,0,1,0.3214955129646418,0.11736821868184834,0.28942494042969114,0.2707841922798988,0.254901285240096
-2,1000,25,0,1,0.20158315357500636,0.10501097366209,0.20195448259080911,0.2214727582790235,0.17849863546420974
-2,1000,25,0,1,0.13350507988327157,0.10194264541666581,0.3972479331548882,0.184500338390354,0.14004858043391566
-2,1000,25,0,1,0.40233985710518727,0.11734565514591658,0.588581385919075,0.2462518039913721,0.22981099650154246
-2,1000,25,0,1,0.44119836407664814,0.11564173585923257,0.5704385984202546,0.23991681659768982,0.20074414596543055
-2,1000,25,0,1,0.16019983199798496,0.10517150468816859,0.4562430747154277,0.1948558712824239,0.14839950651957226
-2,1000,25,0,1,0.1543123497547589,0.09421855022397232,0.3722918414455852,0.20170080477262795,0.15284389383933342
-2,1000,25,0,1,0.5441369493327126,0.11068975780109663,0.8494036938043459,0.20810152247096433,0.15789360440271902
-2,1000,25,0,1,0.34715526838805477,0.10919435248522585,0.6872708342499477,0.23794879656218232,0.22641328018316662
-2,1000,25,0,1,0.2508667510695625,0.10364049828400816,0.4916848005932432,0.20196037732368263,0.15077495390786289
-2,1000,25,0,1,0.270908326719055,0.09874593070464914,0.4940730030581699,0.20567827524298748,0.15907516154425672
-2,1000,25,0,1,0.23574602650720078,0.10688937989062278,0.6121434515932034,0.19626484523303167,0.14964827084219384
-2,1000,25,0,1,0.29162455712508295,0.10774917538832432,0.429564181991688,0.19453147408831872,0.14691618365508197
-2,1000,25,0,1,0.11510971870845864,0.09195200117824491,0.34862746419202423,0.21195623631372912,0.17221846577087602
